stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,7,0,0,0,0,0,0
72hpf,0,0.28,0,0,0,0,0,0,0,0,1.97,0.85,1.13,0,0,0,1.13,0.85,1.13,0,0,0,0,0
21Day,0.37,2.59,0,0.74,0,0.37,0,0,0,0,1.11,0.37,0.37,0,0,0,0.74,0.37,0.37,0.37,0,0,0,0
3Month,0,0.83,0.1,0,0,2.08,0.21,0,0.1,0.21,0.52,1.25,0.31,0,0.1,0.1,0.1,0.1,0.1,0.21,0.62,0.1,1.14,0.73
22Month,0,0.27,0,0,0.14,2.19,0.14,0.14,0.41,0,0,0.27,0.41,0.27,0,0,0,0,0.14,0,0.27,0,0,0.27
