stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0.56,0,0,0.28,0,0.85,0.85,0,0,0,0.28,0,2.82,0,0,0,0,0,0
21Day,1.11,0,0,0.37,0,0,0,0.37,0,0,0,0,0,0.37,0,0.37,0,0,0,0,0,0,0,0.37,0,0,0,0.37,1.48,14.43,0,0,0,0,0.37,0.37
3Month,0.83,1.87,1.66,23.3,0.94,0.31,0.21,4.89,6.87,0.1,38.17,12.27,0.94,14.15,3.12,8.63,6.87,9.99,1.56,0.21,2.81,3.54,1.77,0.52,2.29,1.87,0,0.1,8.63,965.8,0.94,0,0.1,5.2,474.32,7.28
22Month,0,0.68,0.68,3.55,0,0.14,0,1.09,1.23,0.96,25.28,0.55,0.14,4.78,0.14,0.27,2.05,1.64,0,1.09,0,0.14,0.41,0.14,0.27,0.41,4.1,0.68,0.27,109.46,0.55,0.27,0,0,1.78,0.82
