stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,T_cell
72hpf,0,0,0.56,0,0,0,0,0,0,0,0,9.3,0,0.28,0,0.85,0.56,0,0,0,0
21Day,0,0,4.07,0.74,0,0,0,0,0.37,0,0.37,10.36,0.37,1.11,0,0.37,0,0,0.37,0,0
3Month,0,0.1,8.22,0,0.1,0.31,0.94,0.31,0,1.14,0.1,0.31,0.31,0.1,0.1,0.1,0,0.62,0,0.1,0.21
22Month,0.14,0,0.14,0,0.27,0.27,1.09,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0
