stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,39,0,0,0,0,1,0
72hpf,10.99,0,0,0,1.13,0,0.28,0,0,0,0,0,0,0.28,0,2.54,0,0,1.13,0.28,0.85,0,0,0,0,0
21Day,22.57,0,0.37,0,2.22,0,0,0,0,0,0,0,0,0,0,2.96,0,0,0,0.37,1.11,0.74,0,0.74,0,0
3Month,0.1,0,0,0.31,0,0,0,0.1,0,0.62,0.1,0.1,0.1,0.42,0.1,0,0,0.1,0,0,0,0,0.21,0,0.1,0.1
22Month,0,0.14,0.14,0.14,0,0.14,0,0,0.41,1.64,0.14,0.14,0,0,0.14,0,0.14,0,0,0,0,0.14,0.14,0,0,0
