stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0,3.66,0,0,0,1.13,0,0,0,0,0,0
21Day,0,0,0,3.33,0,0.74,0,0,0,0,0,0,4.07,0,0.37,0,0.37,0.37,0,0,0,0,0
3Month,0,0,0.21,6.87,0,0,0,0.31,0.1,0.94,0,0.52,0.52,0.42,0.1,0,0.31,0.1,0,0.62,0.1,0.52,0.52
22Month,0,0.14,0,1.23,0.14,0,0.14,0.14,0.14,2.05,0.14,0.41,0,0.14,0.27,0.14,0.14,0,0.14,0.41,0,0,0
