stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,1.13,0,0,0,0,0,0,0
21Day,0,0,0.37,0.37,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0.37,0,0,0.37,0.37,0,0
3Month,0,0.1,0.62,0,0.1,0.21,0,0.94,0.1,0,0.1,0,0,0.1,0.52,0.1,0.1,0,0,0.1,0,0,0.1,0,0
22Month,0.68,0.14,0.68,0,0.14,0.14,0.55,25.01,0,0.14,0.82,0.14,0,0.14,0.27,0.96,0,0.14,0,0,1.23,0,0,0.14,0.14
