stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.56,0.56,1.69,0.56,0,0,0,0,0,0,0.28,0,0.28,2.54,0.28,1.13,0,0.28,0,139.23,4.23,0,0.28,0,1.69,0,0,2.25,0,0,0.28,0,0,0
21Day,1.48,0,2.22,0.37,1.85,0.37,0,0,0,1.11,0.37,0.37,1.11,0,1.85,1.11,5.55,0,1.48,0,81.03,2.59,1.85,0.74,0,1.48,2.96,1.48,0,0.37,0.74,0.37,0,0,0.74
3Month,0,1.46,1.87,1.25,0,0,0.1,0.21,0.62,4.16,0.73,0,1.14,0.52,0.52,0.42,0.83,0.31,0.21,0.42,8.22,0.21,0.42,0.62,0,0,0.21,31.93,0.1,0,0,0,13.42,4.37,0.42
22Month,0,0,1.09,0.14,0,0.14,0,0.14,1.09,11.89,0.14,0.27,1.78,0.14,0.55,0.68,1.78,0.14,0.14,0,6.15,0,0.41,3.28,0.14,0,0.14,8.61,0.14,0,0,0,0.41,0,0
