stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0.85,0,0,0,0,0.28,0,0,0,0,0,0,0,0
21Day,0,0.74,1.48,1.11,0,0,0,0,0,21.46,0.37,0.37,0,0.37,0,1.11,0.37,0,0.37,0.37,0,0,0,0.37
3Month,0.1,0.1,0.94,0,0.31,0.1,0,1.98,0.42,26.42,0,0.42,0.21,0.21,0,0.1,0,0.21,0,0.52,0.52,0.1,0.21,0.52
22Month,0,0.14,0.14,0,0.14,0.55,0.55,6.83,0,44,0,0.14,0.27,0,0.14,0,0,0.41,0.14,0,0,0,0,0.14
