stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
72hpf,3.95,0.28,1.13,0,3.1,0,0,0,0,0,0,0,0.56,4.23,0.56,14.37,0,0.28,0,0,264.66,29.31,0,7.33,0,0,2.25,0,0,0,0
21Day,3.7,0.37,1.85,0,2.59,0,0.37,0,0,0.37,0,0.74,0.74,2.96,0.37,33.3,0,0,1.11,0,87.69,9.99,0.37,1.85,4.81,0,1.85,2.22,0,0,0.37
3Month,0,0,0.31,0.1,0,0,0,0.21,0.31,0.21,0.1,0.42,0,0,0.1,11.44,0.52,0,0.21,0.1,0.1,0,0,1.25,0.21,1.35,0,0,0.21,0.62,0.1
22Month,0,0,0,0,0,0.14,0,0,0,0.41,0,0,0.14,0,0.14,0.68,0,0.14,0,0,0,0,0,0,0.27,0.55,0,0,0,0,0
