stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,2,12,0,0,0,0,4,142,0,0,1,0,0,0,0,0,0,0,0
72hpf,0.85,0,0,1.97,1.41,0.56,0,0,0,0,0,0,0,0,0.56,7.89,0.28,11.84,0,0,0.28,0,33.82,34.67,0,0,12.12,0.28,0,3.95,0,1.13,0,0,0
21Day,1.85,0,0.74,2.59,0.74,2.59,0,0.37,0,0,0,0,0.37,1.11,0,2.59,0.37,31.82,0,0,0,0.37,22.57,24.79,1.48,0.37,5.55,1.85,0,1.48,0.74,0,0,0,0
3Month,0.1,0.1,0.1,8.01,0.21,0,0.21,0,0.73,0,1.04,0.94,0,0.52,0.31,1.66,0.31,17.47,1.56,0,0.31,0.31,0.73,0.31,0.31,0,0.21,0.21,1.46,0.31,0,0,0.31,5.3,0.31
22Month,0,0,0,1.09,0.55,0,0.27,0,0.55,0,2.32,0.68,0,0.27,0,1.09,0.27,7.11,0.27,0.27,0,0,0,0.68,0.68,0,0,0.14,0.96,0.96,0,0,0,0,0
