stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,3,0,3,0,0,0,0,0,0,0,1,0,0,0,1,12,65,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,3.1,0,0.85,0,0.28,0,0,0,1.13,0,0,0,1.97,0,0.56,7.61,2.82,0.28,0,0,0,1.13,24.24,1.97,0.28,0,0,1.69,0,0,0,0.28,0,0,0,0.28
21Day,0.74,10.73,1.85,2.22,0,0.74,0,0.74,0,5.92,0,1.11,4.07,21.83,1.11,0.74,0,10.73,2.96,0,0,0,0,7.4,2.22,0,0,0,2.96,0.74,0,0,1.11,0.74,0,0,9.99
3Month,0.1,10.4,0.83,10.3,0.1,0,0.21,0,0.94,32.25,0,5.72,42.02,2.18,2.08,0.62,1.35,19.56,4.89,0.94,0,0.62,0.73,0,0,3.54,0.42,0,0,0.94,0.42,4.47,0,0,5.82,2.6,17.37
22Month,0,7.24,0.82,8.06,0,0,0.41,0.14,0.55,22.55,0.14,12.3,25.55,5.06,0.96,0.27,0.41,16.4,6.97,0.14,0.55,1.09,0,0.27,0,1.64,0.27,0.14,0,0,0,6.29,0,0,0.14,0,5.19
