stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0.85,0.28,0.28,0,0,0,0,0.28,0,0,0,0.28,0,0,0.28,0
21Day,0,0,1.48,0.74,0.37,0,0,0.74,0,0,0.74,0,0.37,0,0.37,0,0,0,0.74,0.37,0,0,0,0,0,0,0.37
3Month,0.1,0,0.21,0,0,0.1,0,1.04,0.42,0,1.46,0,0.1,0,0.21,0,0,0,0,0,0.1,0,0,0,0.1,0,0
22Month,0.27,0.14,0.41,0,0.14,0.41,0.55,17.08,0.14,0.14,19.54,0,0.41,0.41,0.55,0.14,0.41,0.14,0,0.14,0,0.14,0.14,0.14,0.27,0,0.27
