stage,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell
24hpf,1,0,0,0,0,0,0,0,2,0,0,0
72hpf,0,0.28,0,0,0,0,0,4.23,0,0,0.28,0
21Day,0,0,0.37,0,0,0,0,1.85,0,0.37,0,0.37
3Month,0,0,0.1,0.1,0.1,0,0,0,0,0,0,0
22Month,0,0,0,1.09,0,0.14,0.14,0,0,0,0,0
