stage,Epithelial_cell,Erythrocyte,Hepatocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Radial_glia
72hpf,0,0,0,0,0,1.97,1.69,0,0.56
21Day,0.37,0.37,0,0,0,2.22,0,0.37,0
3Month,0,0,0.31,0.21,0.1,0,0,0,0
