stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0.85,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0.37,0.37,0,1.48,1.48,0,0.74,0.37,25.9,0,0,0.37,0,1.11,0.37,2.22,0,0,0.37,2.59,0.37,0,0,1.48,1.85,0,0,0.37,0.37,0,0,0.74
3Month,0.1,0.21,0.52,1.56,0,0.31,0,0.42,129.19,0.94,0.1,2.81,0.1,0.83,0.52,0.73,0.1,2.08,2.81,0.31,0,0,0,0,2.08,0.62,0.1,0,0,0.21,3.12,0.83
22Month,0,0.14,0.27,0.14,0,0,0,0,31.43,0,0,0.14,0,0,0.27,0.14,0.96,2.46,0.14,0,0,0.14,0.14,0,0,0,0,0,0,0,0,0
