stage,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,T_cell
24hpf,0,0,0,0,0,0,0,0,4,0,0,0,0
72hpf,0,0,0,0,0.28,0.56,0,0.28,0,0.28,0,0,0
21Day,0.37,0,0,0,0.37,0.37,0,0,1.11,0.37,0,0.37,0
3Month,0,0,0.31,0.21,0,0,0.1,0,0,0,0.21,0,0.21
22Month,0,0.14,0.14,0,0,0,0,0,0,0,0,0,0.14
