stage,Cardiomyocyte,Epithelial_cell,Granulocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,1,0,0
72hpf,0.56,0,0,0,0.28,10.43,2.25,0.56,0
21Day,0,0.37,0,0.37,0,4.07,1.11,0,0.37
22Month,0,0,0.14,0,0,0,0,0,0
