stage,Cardiomyocyte,Erythrocyte,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,0,0,1,0,0
72hpf,7.33,0,0,0,0.28,1.13,0,0.28,0.28,0.28,0
21Day,5.92,0.37,0.37,0.37,0,0.37,0.37,0,0,3.7,0.37
3Month,0.1,0,0,0,0,0.1,0,0,0,0,0
