stage,Cardiomyocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,1,0,0,1,4,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,4.51,1.13,0.28,0,0.85,0.28,0,0,0,0,0
21Day,0,1.48,0,0,0,0.37,0,0,0.37,0,2.22,0.37,0,0,0,0,0.37,0,0.37,0,0
3Month,0,0.42,0.21,0.52,0.1,0.31,0,0.52,0.1,0.21,0,0.1,0.1,0,0,0,0.52,0.1,0,1.46,0.1
22Month,0,0.14,0.27,1.23,0,0,0.14,0.14,0,0,0,0,0,0.14,0,0,0,0.14,0,0,0
