stage,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_progenitor_cell
72hpf,0,5.36,0,0,0,0,0,0.28
21Day,0,3.33,0,0,0,0.37,0,0
3Month,0,0,0.1,0.31,0,0,0,0
22Month,0.14,0,0,0.14,0.14,0,0.14,0
