stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,2,0,2,1,0,0,0,0,0,0,0,0,0,0,1,2,1,7,0,0,0,0,1,59,0,0,0,0,0,0,0,1,0,0,0
72hpf,1.69,0.85,0,2.25,0.56,0,0,0,0,0,0,0,0,0,0,1.69,5.36,0,3.66,0,0.28,0.56,0.56,7.61,10.99,0,5.92,0,0,1.13,0.28,0,0.56,0,0,0
21Day,0.74,0.37,0,8.51,1.11,1.85,0,2.22,0,0,0,0,0,0.74,0,0.37,3.7,0.37,6.29,0,0,1.11,0,5.18,5.18,0.37,1.85,1.85,0.37,1.11,0,0.74,1.11,0,0,0
3Month,0.1,1.87,0.52,14.87,0.42,0,0.31,0.1,0.94,2.18,0,9.15,0.94,0,5.1,1.77,3.74,1.14,3.74,0.83,0,2.39,1.98,0.62,0.42,0.21,0.31,0.62,7.39,0.31,0,0,0.31,1.77,6.55,1.87
22Month,0.14,1.78,0.55,3.69,0.14,0,0,0,0.68,1.78,1.5,16.4,0.41,0.14,5.88,0.27,0.55,0.96,2.05,0,0.27,0.55,0,0.27,0.14,0.14,0.14,0,1.09,0.96,0,0,0.41,0.41,0,0.14
