stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.56,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0
21Day,0,0,0,1.85,0.37,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0.37,0,0,0,0,0,0,0
3Month,0,0.21,0.1,1.46,0,0.31,0.31,0,1.35,0.31,0,0.42,0.31,0.52,0.42,0.83,0.1,0,0,0.31,0,0,0,0,0.52,60.02,0.1,2.91,0.42
22Month,0,0.14,0,0.68,0,0.55,1.5,0.41,4.24,0.14,0.27,0.41,0,0.41,0.27,1.09,0,0.41,0.41,0,0,0,0.27,33.07,0,2.46,0,0,0.55
