stage,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte
24hpf,0,2,0,0,0,0,0,0,0,0,0,2,4,0,0,0,12,0,0,0,0,0
72hpf,0,0.28,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0.56,0.28,0,0,0,0,0
21Day,0.74,1.85,2.59,0,0,0,0,0,0,0,0,0,1.11,0,0,0,0,0,0,0,0,0
3Month,0.62,0,0,0.21,0.1,0,3.43,0.21,0.31,0.62,0,0.1,0.42,0,0.1,0,0,0,0.21,0,0.21,0.1
22Month,0.14,0,0.27,0,0.96,0.14,8.75,0.55,0.27,0.41,0.14,0.14,0.41,0.14,0.14,0,0,0.14,0,0.14,0.14,0
