stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,4.23,0,0,0,0,0,0.56,0,0,0,0,0.28,0,0,0,0,0,0
21Day,0.37,0,0,2.22,1.11,0.37,0,0,0,0,0,8.88,0,0,0.37,27.38,0.37,0,0,0,0,1.48,0.37,0.37,0,1.11,0.37,0,0.37,0,0,0,3.33
3Month,0.1,0.21,0.1,1.46,0,0,0.21,0.52,0,1.98,0.52,0.42,0.83,0.21,0.42,25.9,1.87,0,0,0.42,0.21,0.1,0,0.1,0,0,0.31,0.62,0.1,0.1,0.1,0.21,1.77
22Month,0,0.41,0.14,0.96,0,0,0,1.37,1.37,13.12,0.41,0.55,0.82,0,0.14,34.85,2.32,0.14,0.55,0.14,0,0.14,0,0.14,0.68,0.14,0.14,2.05,0.14,0,0,0,0.68
