stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0
72hpf,1.13,0.85,0,2.82,0.56,2.25,0,0,0,0,0,0,0.28,0,0.56,2.82,0.28,2.82,0,0.28,9.3,1.69,0,1.97,0,0,0,0,0,0,0,0
21Day,2.22,0.74,0,6.29,0,0.37,0,0,0,0.37,0,0,0.37,0.37,0,3.7,1.48,7.77,1.11,0,12.21,1.48,0,3.7,0.37,0,0.74,0,0.37,0,0,0.37
3Month,0,0.1,0.1,1.46,0,0,0,0.1,0.42,0,0.52,0.21,0,0.21,0.21,0.73,0.42,0.94,0,0.1,0,0,0,0.1,0.21,4.99,0,0.1,0,0.1,1.25,0.31
22Month,0,0.14,0,0.14,0,0,0.14,0,0,0,0.27,0,0,0,0,0.14,0.27,0.27,0,0,0.14,0,0.14,0,0,0.96,0.14,0,0,0,0,0
