stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0.28,1.13,0,0,0,0,0,0,0,0,0.28,0,0,0
21Day,0,0.74,0,3.7,0,0,0,0,0,0,0,0.37,0,0.37,0.37,0.37,2.59,0.74,0.74,0,0,0.37,0,0,0.74,0,0,0.74,0,0,0.37,0,0.37,0.37,0,0,0
3Month,0,1.46,0.83,30.79,0.1,0.1,0,0.1,3.12,1.14,0,176.93,11.86,0.73,4.89,3.02,2.81,3.02,3.85,1.77,0,1.66,0.94,1.14,0.21,14.04,0.1,0,3.12,6.87,0.31,0,0,0.94,0.31,3.54,5.3
22Month,0.14,1.64,0.96,13.66,0.14,0.55,0.27,0,3.28,1.78,9.29,185.71,5.06,3.42,3.96,0.27,2.32,2.87,4.1,0.55,1.78,0.68,0,0.55,0.41,6.42,0.68,0.14,0,0.96,0.27,0.41,0,0.41,0.14,0,1.23
