stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,1,34,0,1,0,0,0,0,0,0,0,0
72hpf,1.69,0.28,0.85,0.56,2.54,0.28,0,0,0,0,0,0,0,1.13,2.25,1.13,22.27,0,0,22.27,10.15,0.28,2.82,0,0.28,0.85,0.28,0,0.28,0,0
21Day,0.37,0,2.96,0.37,2.22,0.74,0,0.37,0,1.48,0.37,0.37,0.37,0,3.33,0.37,17.02,0,0.74,5.92,2.96,0,0.74,1.48,0,0.74,0.37,0.37,0,0,0.37
3Month,0,0,0.1,0,0,0,0.1,0,0,0.31,0.21,0,0,0,0.21,0.21,0.21,0.1,0.1,0,0,0,0,0,0.52,0,0,0,0,0.31,0
22Month,0,0,0,0,0,0,0.14,0.14,0,1.37,0.14,0,0.14,0,0.14,0,0.14,0,0,0,0,0,0,0,1.23,0,0.14,0,0,0,0
