stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,2,2,0,4,4,0,0,0,0,0,0
72hpf,0,0.28,0.56,0.85,0.85,0,0,0,0,0,0.28,1.41,1.13,0.28,38.61,1.13,1.41,0,0,0,0,0
21Day,0,0,1.11,0,0.37,0,0.37,0,0.37,0,0,0,1.11,0.37,19.98,1.85,1.48,0.74,0,0.37,0.37,0.37
3Month,0.21,0,0.21,0,0,0.1,0,0.21,0,0,0,0.1,0.1,0,0.21,0,0,0,0.1,0.31,0,0.1
22Month,0,0,0,0,0,0,0,1.09,0,0.14,0,0,0.14,0,0.14,0,0,0,1.09,0.55,0,0
