stage,Epithelial_cell,Epithelial_cell__Brain_,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia,T_cell
24hpf,0,0,0,0,0,0,0,0,1,0,0,0,0
72hpf,0.28,1.13,0,0,0,0,0,13.25,0.56,0,0,0.28,0
21Day,0,0,0,0.74,0,0.37,0.74,5.92,0,0.74,0.74,0,0.37
22Month,0,0,0.27,0,0.27,0.14,0,0,0,0,0,0,0
