stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
72hpf,0,0,0.56,0,0,0,0,0,0.28,0,4.23,0.56,0.28,0,0,2.82,0,0
21Day,0,0,0,0,0,0,0.37,0,0,0,0.37,0,0,0,0,0.37,0,0
3Month,0,0.1,0.21,1.66,0,0.1,0.1,0,0,0.1,0.21,0,0,0.21,0.21,0.1,0.1,0.52
22Month,0.14,0,0,1.09,0.14,0,0.14,0.14,0.14,0,0,0,0,0,0,0.14,0,0
