stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,163,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,6,1,0,0,0,0,0
72hpf,105.13,0.28,0,0.28,0.85,0,0,0,0,0,0,0.56,0,0.28,0.28,3.38,3.95,1.97,0,0,0,0,0
21Day,99.9,0.74,2.22,0,1.11,0,0,0,0.74,0.37,0.74,0.37,1.48,2.22,0,1.11,0.74,0.37,1.11,0.37,1.11,0,0.74
3Month,0.73,0,1.35,0,0,0.1,0.94,0.31,0,0.21,0,0.21,1.35,0,0,0,0,0,0.1,0.42,0,0.1,0.21
22Month,0.14,0.14,0.14,0,0,0.14,1.91,0,0,0.14,0,0,0.14,0.27,0,0,0,0,0,1.37,0,0,0
