stage,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neurosecretory_cell
72hpf,0,0,0,0,0,0,0,0,0.28,0,0,0,0
21Day,0,0,0,0,0,0,0,1.48,0,0,0,0,0
3Month,0,0.31,0,0.21,0,3.54,0,1.56,0.21,0.21,0.1,0.1,0.1
22Month,0.14,0,0.14,0,0.14,1.78,0.14,1.23,0,0,0.27,0,0
