stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,3,5,11,0,0,0,0,1,52,1,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0.56,0,3.1,0.28,3.95,0,0.56,0,0,0,0,0,0,0,0.56,4.79,0.28,2.82,0,0,0.28,0,22.55,12.97,0,0,0,1.69,0,0,1.69,0,0,0.28,0,0,0
21Day,0.37,0.37,0.37,5.55,0,2.22,0,0.74,0,0,0,1.85,0,2.22,2.22,1.11,1.48,1.48,6.66,0,0,1.48,0,7.03,8.51,0,0,0,1.85,1.11,0,0.74,1.11,1.11,0.37,0,0,0.37
3Month,0,2.5,1.46,11.44,0,0,0.52,0.1,2.5,2.39,0.1,197.94,3.22,0.21,21.32,1.25,5.62,1.87,2.81,0.31,0.52,3.43,0.73,0.62,0.21,1.14,0.1,0,0.1,3.85,3.54,0.21,0.1,0,0,0.94,8.11,1.66
22Month,0.27,2.32,0.27,2.19,0.14,0,0.68,0,0.14,0.96,2.6,151.27,0.68,0.55,11.48,0.27,0.68,1.37,1.23,0,6.97,1.09,0.27,0.27,0,0.55,0.27,0.14,0,0.14,0.68,0.82,0.41,0,0,0,0,0.68
