stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,3,1,1,4,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0
72hpf,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,6.48,0.28,0,0.28,0,0.85,0,0,0,0.28,0,0,0,1.13,0,0,0,0,0,0,0
21Day,0,0,5.92,3.33,0,0,0,0,0,0,0,1.11,0,0,5.18,0.37,0,0,1.11,0,0,0.37,0,0.37,0,0,0,0,0,0.37,0,0,0,0,0,0
3Month,0.31,0.62,10.3,18.62,0.1,1.66,0.1,7.91,2.08,0,0,244.23,2.81,0.1,178.7,1.66,1.87,2.18,2.18,0.52,0.31,1.25,1.25,0.21,0,0.31,0.1,0,0.31,4.68,1.04,0.21,0,1.35,1.66,2.08
22Month,0.14,1.23,8.06,9.29,0,1.09,0,7.52,1.78,1.91,0,417.74,0.68,0.41,189.12,0.27,0.27,0.68,2.87,0,6.01,1.64,0.55,0,0,1.64,0.82,1.09,0,0.27,0,0.14,0.14,0.27,0,0.68
