stage,Cardiomyocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell
21Day,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0.37
3Month,0.21,1.04,0.1,0.62,0.21,0,0.73,0.94,0.42,0.1,0.42,0.31,0.1,0,0.42,0.1,0
22Month,0,0,0.14,0,0.14,0.14,3.42,0.14,0.41,0.14,0.14,0.14,0,0.14,0,0.14,0
