stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0
72hpf,0,0,0,0.56,0,0,0,0,0,0,0,0,31.57,0.56,0,0.28,0,0,0,0
21Day,0,0.74,0.37,0.37,0,0,0.37,0,0,0,0,0,7.77,1.11,0,0,0.74,0.37,0,0
3Month,0.1,0,0,0,0.1,1.14,0,0.1,0.31,0.31,0,0.1,0,0,0,0,0.21,5.41,0.1,3.64
22Month,0,0.14,0,0,0,0.82,0,0,0,0,0.14,0,0,0,0.14,0,0,0.96,0,0
