stage,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Hatching_gland,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte
24hpf,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0.85,0.28,0,0,0,0.28,0,0,0
21Day,1.48,0,0,0,0,0,0.37,0,0,0,0,0.37,0.37,0,0
3Month,1.14,0,0.1,0,0.31,0.73,0.31,0,0.1,0.1,0.21,0.1,0,0.1,0.1
22Month,0.14,0.14,0,0,0.68,0.55,0,0,0,0,0.14,0,0,0,0
