stage,Erythrocyte,Erythroid_progenitor_cell,Immune_cell,Intestinal_bulb_cell,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell
24hpf,0,0,0,0,0,0,0,3
72hpf,0,0,0,0,0.28,0,0.56,0
21Day,0.37,0.37,0,0,1.11,0,0,0
3Month,0,0,0.1,0.21,0,0.1,0,0
