stage,Cardiomyocyte,Endothelial_cell,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Retinal_cell,Retinal_cone_cell,Spermatocyte
24hpf,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0,0.28,8.46,0.56,0,0,0.56,0.28,0
21Day,0,0,0,0,0,0,0,0,0.37,0,0.74,0,0,2.59,0,0.37,0.37,0,0,0
3Month,0,0.31,0.1,0.1,0,0,0.31,0.1,0,0.21,0.1,0.1,0,0,0,0,0,0,0,0.42
22Month,0,0,0.14,0,0.14,0,1.78,0,0,0,0.14,0,0,0.14,0,0,0,0,0,0
