stage,Epithelial_cell,Ionocyte,Neural_cell,Primordial_germ_cell,Spermatocyte
72hpf,0,0,0.28,0,0
21Day,1.48,0,0.37,0,0
3Month,0.42,0.1,0,0.83,0.31
