stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0,0,0,0,0.28,0,0.28,0,0,0,1.69,1.13,0.28,0,0.28,0,0,0
21Day,0.37,0,1.85,0,0.37,0,0,0,0,0,0,0,0.74,0,0.37,0,0.37,0,1.48,0,0.37,0,0,0,0,0
3Month,0.21,0,1.98,0.21,0,0.1,0.1,0,1.35,0.1,0.21,0.1,0.62,0.21,0.52,0,0,0.21,0,0,0,0,0,0,0.1,0.21
22Month,0,0.14,0.55,0,0,0.14,0.41,0.14,1.64,0,0.55,0.27,0.55,0.27,0.27,0.14,0,0,0.14,0,0,0.14,0,0.14,0,0
