stage,Endothelial_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_progenitor_cell,Osteoblast,Spermatocyte
72hpf,0,0,0,0,0,0.28,0,0.28,0.28,0
3Month,0.1,0.52,0.1,0.21,0.21,0,0.1,0,0,0.31
22Month,0,1.23,0,0,0,0,0,0,0,0
