stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0
21Day,0,0,1.48,0.37,0,0,0,0.37,0,0,0,0,0.74,0,0,0,0,0.37,0,0,0.37,0,0,0,0,0.37
3Month,0,0.62,1.87,0,0.1,0.21,0.94,80.09,3.22,0,1.98,0.52,0.42,1.35,0.31,0.1,0.31,0.31,0.42,0,1.35,0.31,0.1,0.21,0.94,0.94
22Month,0.14,0,0.27,0,0.14,0,0.82,20.91,0.14,0.27,0,0,0,0.55,0,0,0.14,0,0,0.14,0.14,0,0,0,0,0.27
