stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,1,0,9,1,0,0,0,0,0,1,0,0,0,0,1,1,1,38,0,0,0,4,80,0,9,0,0,0,1,0,0,0
72hpf,1.41,0.85,0,7.05,1.97,1.41,0,0,0,0,0,0,0,2.25,0,0.28,4.51,0.28,60.6,0,0,4.79,17.47,12.68,0,59.47,0,0,1.69,1.13,0,0,0
21Day,0.37,0,0.37,8.51,0,1.48,0.37,0,0,0,0,0,0.37,8.51,0.37,0.37,1.11,0.37,54.39,0,0,5.55,0.37,3.33,0.37,15.54,0,0,1.11,0.74,0.37,0,0.74
3Month,0,0.42,0.1,2.39,0,0,0,0.1,0.21,0.1,0,0.42,0.21,0.21,0.31,0.31,2.18,0.31,14.87,1.46,0,1.25,0.1,0,0.21,0.21,0.62,9.57,0,0.1,7.91,0.94,0.21
22Month,0.14,0,0,1.09,0,0,0,0,0.14,0,0,0.82,0.14,0.41,0,0,0.41,0.14,11.75,0.27,0.14,0.96,0.14,0,0,0,0,5.06,0.14,0,0.27,0,0
