stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0
21Day,0.37,0.37,0.74,0,0.74,0,0,0.37,0,0,0,7.77,0,0,0,1.48,0,0,0,1.11,0,2.22,0,0.74,0.74,0,0,0,0,17.76
3Month,0.1,0.21,1.35,0.21,0,0.31,0.31,0.94,0,1.56,1.35,0.94,0.1,0.31,0.21,8.11,1.56,0.94,0,0.21,0.1,0.21,0.1,0,0.1,0.31,0,0.1,0.31,38.8
22Month,0.14,0.14,0.41,0,0,0,0,0.96,0.27,3.01,0.41,0.55,0.41,0,0,4.92,0.82,0,0.14,0.14,0,0,0,0.14,0.14,0,0.14,0,0,22.96
