stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,26,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,19,0,0,0,1,0,0,0,0,0,0
72hpf,0.28,10.71,0,0.56,0.28,0,0,0,0,0,0,0,0,0,0,0,4.79,0,0,0,0,0,0.85,1.69,0,0,0,0.28,0,0,0,0,0,0
21Day,0,12.21,0,1.85,0.37,0.74,0,0,0,0,0,0,0,0.37,0,0,8.14,0,0.37,0,0,0,0,3.7,0,0,0,0.37,0,0,0.37,0,0,0
3Month,0,17.37,0,0.83,0,0,0,0.42,0.1,0,0,1.04,0.31,0,0.52,0.21,0.94,0.73,0.1,0.1,0,0.1,0,0.1,0,0.1,0,0,0.1,0.1,0,0.1,0.52,0.21
22Month,0,10.52,0.14,0.14,0,0,0.14,0,0.68,0.27,0,5.19,0.41,0.14,0.41,0,0.68,0.27,0.55,0,0.14,0,0,0,0.14,0,0.27,0,0.14,0.14,0,0.14,0,0.27
