stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,5,0,0,0,0,0,0,0,1,0,0,3,0,4,0,0,2,63,1,0,3,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,0.56,0,0,0,0,0,0,0,0,0,0.85,1.69,0,6.2,0,0,9.58,26.49,0,0.56,4.51,0,0,1.97,0,0,0,0,0
21Day,1.85,0.37,0,2.96,0,3.33,0,2.22,0.37,0,0.37,0.74,0.37,0,3.7,0,9.99,0,0.37,1.11,5.55,0,0,3.7,0.74,1.11,0.37,0.37,0.37,0,0,0.74
3Month,0,0.1,0.1,1.66,0.1,0,0.21,0,0.62,1.14,0.31,0.1,0.42,0.1,0.31,0,0.52,0,0,0,0,0,0,0,0,2.6,0,0,0,0.31,1.98,0.42
22Month,0,0,0.14,0,0,0,0,0,0,0.27,0.14,0,0.27,0,0,0.14,0.27,0.27,0,0,0,0,0,0,0,1.23,0,0,0,0,0,0
