stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0.28,0,0,0,0,0,0,0.28,0.28,0,0.56,0,0,30.44,1.41,0,0.56,0,0.28,0,0.28,0,0,0
21Day,1.11,0,1.85,0.37,0,0,0,0,0.37,0,0,0,0.74,0.37,2.22,0,0.37,7.77,1.48,0,0.74,0,0.37,0.37,0,0,0,0
3Month,0,0.1,0.62,0,0,0.21,0.42,0.62,0.52,0,0.42,0.31,0.21,0.1,0.83,0.21,0.1,0.1,0,0,0,0.42,0,0,0,0.1,0.1,0.1
22Month,0.14,0,0,0,0,0,0,0,0,0.14,0,0,0,0.14,0.14,0,0,0,0,0.14,0,0,0,0,0,0,0,0
