stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,T_cell
21Day,0,0,0.37,0.37,0,1.11,0.37,0.37,26.64,0.37,0,1.11,0.37,0,0.37,0,0.37,0.74
3Month,0.1,0.62,0,0.21,0.1,0.1,0,0.1,3.02,0.1,0,0,0,0.31,0,0.1,0,0.73
22Month,0,0.14,0,0.41,0,0,0,0,2.32,0,0.14,0,0,0,0,0,0,1.09
