stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,8,0,0,3,0,0,0,0,0,0,0
72hpf,4.51,0.56,0,0.85,0,0,0,0,0,0,0,0,0.28,0.85,0.28,31.85,0,0,10.43,2.25,0.56,0,12.12,0,0,0.28,0,0,0,0
21Day,2.22,0.74,0.37,0.74,0.37,0,0,0,0,0,0,0.37,0,0.37,0,26.64,0,6.29,3.33,0.74,0,0,5.18,1.11,0,0.74,0.37,0,0,0.37
3Month,0,2.91,0.1,1.14,0,0.1,0.42,0.1,2.18,0.31,0.21,1.14,0,0.62,0.62,11.44,0.73,0.42,0,0,0.52,0.1,0.1,0.52,12.69,0,0,0.52,3.22,0.62
22Month,0,1.5,0,1.09,0,0.14,0.41,0.55,7.93,0.27,0,0.96,0,0.14,0.55,2.87,0,0.96,0.27,0,0.55,0,0.27,0,11.21,0,0,0.14,0,0
