stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.28,4.51,0.28,0,0,0,0,0,0,0,0,0,0,0,1.41,0,0,0,0,0,6.48,0.85,0.56,0,0.28,0,0,0.28,0,0.28,0,0,0
21Day,0.74,0.37,0,6.29,2.96,1.11,0,0,0,0,0,0,0,0,0.74,0.37,0,5.18,0,1.85,0,1.48,0,4.07,0.37,0.37,0.74,0.74,0.37,0,0.37,0.37,0,0,0,1.11
3Month,0,0.94,0.42,12.07,0.83,0,0.21,0.52,0.73,0.52,0,0,4.47,0.94,0.52,5.62,0.83,1.87,1.87,0.94,0.31,0.1,0.31,1.87,0,5.62,0.21,0.1,0.62,4.37,0,0,0,0.42,0.94,3.22
22Month,0,0.68,0.27,1.64,0.55,0,0,0.14,0.14,1.5,0.27,0,8.06,0.14,0.82,2.05,0.14,0.27,0.82,2.87,0.14,0.68,0,0.96,0.27,5.74,0.41,0,0,2.32,0.27,0,0,0,0,1.78
