stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,10,13,31,0,0,1,0,0,4,0,0,1,0,3,11,7,110,0,0,0,0,7,261,0,0,3,0,0,0,0,0,0,0,0
72hpf,3.1,5.07,7.05,11.84,3.38,0,0,0.28,0,0,0,0,0,1.13,13.53,1.13,32.41,0,0,2.82,0.85,38.61,112.74,0,0,24.24,0,0,1.69,0.28,6.76,0,0,0
21Day,0.74,4.44,3.33,6.29,3.33,0,0.37,0,0,0,0,0,0.37,0,1.85,0,5.92,0,0,3.33,0.37,4.44,15.17,0,0,2.59,0.37,0,0.37,0,0.37,0.37,0,0
3Month,0,2.81,1.66,1.46,0,0,1.35,0.31,0,1.04,0.21,0,0.42,0.1,0.52,0.52,0.73,0,0,0,4.06,0.21,0.1,0.1,0,0.62,0.21,19.97,0.42,0,0.1,1.25,0.31,0.21
22Month,0.14,2.05,1.37,0.68,0,0,0.27,0.68,0,2.05,0,0,0.27,0,0.27,2.46,0.14,0.14,0.27,0,0,0,0,0.14,0.68,0,0,1.5,0.82,0,0,0,0,0
