stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast
72hpf,0,2.25,0,0,0,0.85,0,0,0.28,0
21Day,0.37,0.37,0,0.37,0.37,7.4,0.37,0.37,0,1.85
22Month,0,0,0.41,0,0,0.27,0,0,0,0
