stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,3.66,0.85,0.28,0,0,0,0,0,0,0,0,0,0,0,0,1.41,0,0,0.28,0,0.28,0,0,0,0.85,0,0,0,0,0,0,0
21Day,0,0,0,7.4,0,0,0,0,0,0,0,0,0,2.22,0.37,0,2.59,2.22,8.14,0,0,0,0,1.11,0.37,0,0,9.99,0.74,1.11,0.37,0,0,0,8.14
3Month,0.21,0.73,0.73,9.67,0.21,0,0.31,0.1,1.25,2.81,0,8.32,4.06,1.35,3.54,1.04,6.66,9.67,44.1,2.08,0,0.94,0.94,0.73,0.1,0.31,0.42,1.77,1.87,34.33,0,0.1,16.43,7.39,17.27
22Month,0,0.55,0.14,2.73,0.14,0,0,0.27,0.14,1.5,1.91,4.37,0.27,10.66,0.55,0,1.78,9.02,6.56,0,0.14,0,0,0,0,0,0.14,0.41,0.14,9.43,0,0.27,0.14,0,5.74
