stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell
24hpf,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,12,0,0,0,0
72hpf,0,0,0,0.28,0,0.28,0,0,0,0,0,0,0,0.28,0,0.56,0.28,0,1.41,0.56,0.56,0,0.56,0
21Day,0.37,0,0,1.48,0.37,0,0.37,0,0,0,0,0,0,0,0.37,0.37,0,0,0.74,0.37,0,0,0.37,0
3Month,0.1,0.1,0.1,1.04,0,0,0,0,0,0.62,0.1,0,0.31,0.21,0.21,0,0,0.21,0,0,0,0.73,0,0.1
22Month,0,0.14,0,0.14,0,0,0,0.55,0.14,0.27,0,0.14,0.14,0.27,0,0.41,0,0,0,0,0,0.27,0,0
