stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0.28,0.85,3.66,3.1,0.28,0,0,0.28,0
21Day,0.37,0,0.74,0.74,0.37,0,0,0.74,1.48,2.59,1.11,0.74,0,1.48,0,0.37
3Month,0,0.1,0.73,0,0,0,0.42,0,0.1,0,0.1,0,0.42,0,0,0
22Month,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0
