stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0.28,0,0,0,0,0,2.82,0,0,0,0,0,0,0,0,0
21Day,0.37,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0,0.37,0,0,0,0,0,0
3Month,0.83,0,1.14,0.31,0.62,0.21,0.31,0,0.1,0,0.52,0.21,0.52,0,0.73,0,0.21,6.76,0,0.21,4.16,0.1
22Month,0.14,0.14,3.42,0,0.27,0,0.14,0.27,0.14,0.14,0,0,0,0,1.09,0,0,8.75,0.14,0,0.14,0.14
