stage,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,15,0,0,0,0,0,0,0,0,0
72hpf,0.28,1.13,0,0,0,0,0,0,0.85,0,0,0,0,0,0.28,1.13,0.28,0,0,0,0,0.85,0,0,0,0
21Day,0.37,0.37,0,0,0,0,0,0,0.74,0,0,0,0,0,0,0.74,0.37,0,0,0,0.37,0,0,0,0,0
3Month,11.55,0.31,0.31,0.73,2.5,0.73,1.14,2.81,0.62,0.42,0.94,0.21,0,0.31,0.62,1.25,0.21,0.31,0.1,0.52,10.71,0.1,0.21,0.31,125.34,0.31
22Month,2.73,0,0,0,0.96,0,0.27,0,0.14,0.14,0.27,0,0.14,0,0,0,0,0.14,0.14,0,5.06,0,0,0,1.09,0
