stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0,0,0,0
3Month,0,0.21,1.04,0.1,0.31,0.21,0.31,0.52,0.21,0.21,0.21,0.1,0.1,0,0.73,0.42,3.43,0.31
