stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0.56,1.41,0.85,0.28,0,0,0
21Day,0,0,0.37,0,0,0,0,0,0,0,0.37,0.37,1.11,0,0,0,0
3Month,0,0.1,0.21,0,1.04,0.1,0.42,0.1,0.1,1.35,0.1,0,0,0,0.83,0,0.1
22Month,0,0,0.14,0.14,1.91,0.14,0.14,0,0.14,0.27,0.27,0,0,0,0,0.14,0
