stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Mesenchymal_cell,Neural_cell,Primordial_germ_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0
21Day,0.37,0,0,0.37,0,0,0,0,0.37,0.37,0.37,0,0,0
3Month,0,0.1,0.31,0,0.1,0.31,0.1,0,0,0,0,0,0.1,0.1
22Month,0.14,0,0,0,0,0.68,0,0.14,0,0,0,0.14,0,0
