stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,T_cell
24hpf,1,0,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,1,15,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,0.56,0.28,0,0,0,0,0,0,0,0.56,0,0.56,0,0,16.63,1.13,0,0.56,0.28,0,0.56,0.56,0,0
21Day,0.74,0,0.37,2.22,0,0.74,0,0.37,0.37,0.37,0.74,0.37,3.33,0,2.59,0.37,0.37,10.73,1.11,0,0.37,1.85,0,0,4.44,0.37,0.74
3Month,0,0.1,0,0.1,0,0,0,0.31,0,0,0,0,0,0.1,0.31,0,0,0,0,0.1,0,0,0.1,0,0,0,0
22Month,0,0.27,0.14,0,0,0,0.14,0.82,0,0,0.14,0,0,0.14,0,0,0,0,0.14,0,0,0,0,0,0.14,0,0
