stage,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0.28,0,0.28,0.28,0,0,7.89,1.97,0,0,1.41,0,0.28,0,0,0.28,0,0,0
21Day,1.85,0,0,0,0,0,1.11,0,0.74,0,0.37,0,4.81,0.37,0,0.37,1.11,0.37,0.37,0.37,0.74,0,0,0,0
3Month,0.42,0,0.1,0,0.62,0.1,0.31,0.21,0.42,0,0.1,0.1,0.21,0.31,0,0.21,0.1,0.42,0,0,0,0,0.1,0.1,0.1
22Month,0.14,0.14,0,0.27,2.73,0.14,0.14,0,0.41,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0
