stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
72hpf,0.28,0,0.28,0.28,0,0,0,0,0,0.56,0,11.84,0,0,0.28,1.13,6.48,0,3.38,0,0,0.28,0.56,0,0
21Day,7.03,0.37,0,0,0,0,0,0,0,0,0.37,7.03,0,0,0,1.11,2.59,0.37,0,0.74,0,0.37,0.37,0,0
3Month,0,0.1,0.21,0,0,0,0,0.83,0.21,0.1,0,3.54,0.52,0,0.52,0.31,0,0.1,0,0,0.1,0,0.1,0.1,0.1
22Month,0,0,0.82,0,0.14,0.27,1.23,3.01,0,0,0.27,3.01,0,0.14,0.14,0,0,0,0,0,0,0.14,0,0,0
